,Title,Published_date,Views,Likes,Comments,Month
174,Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,2023-12-11,12096,475,14,Dec
175,Having vs Where in MySQL | Beginner MySQL Series,2023-12-05,251092,4255,73,Dec
176,#Excel is Frustrating,2023-11-29,13191,795,11,Nov
177,7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,2023-11-28,14359,430,11,Nov
178,Group By + Order By in MySQL | Beginner MySQL Series,2023-11-28,334977,5505,123,Nov
179,Where Clause in MySQL | Beginner MySQL Series,2023-11-21,365653,5659,176,Nov
180,Why Data Analysts Hate Using Excel,2023-11-14,26697,972,139,Nov
181,Select Statement in MySQL | Beginner MySQL Series,2023-11-07,570618,6983,241,Nov
182,Installing MySQL and Creating Databases | MySQL for Beginners,2023-10-31,1603276,20011,2264,Oct
183,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-10-26,27634,992,12,Oct
184,How to Start a Data YouTube Channel,2023-10-24,10233,446,45,Oct
185,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,2023-10-20,5172,237,11,Oct
186,Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,2023-10-17,24039,908,293,Oct
187,Data Analyst vs Business Analyst,2023-10-13,190166,8780,65,Oct
188,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,2023-10-10,32421,852,212,Oct
189,#DataAnalysis #DataAnalyst #DataRealities,2023-10-09,38183,2091,27,Oct
190,#DataAnalyst #DataCareers #DataAnalysis,2023-10-05,18473,1335,32,Oct
191,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03,38741,848,45,Oct
192,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28,9029,284,20,Sep
193,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28,15212,992,7,Sep
194,AI and Analytics with SAS | SAS Explore Recap,2023-09-26,27447,563,33,Sep
195,My Very First Video,2023-09-25,10037,505,28,Sep
196,#DataAnalyst #CareerPath,2023-09-22,120294,6320,45,Sep
197,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19,49365,1202,54,Sep
198,#Excel #DataAnalyst #DataAnalysis,2023-09-18,22217,1447,22,Sep
199,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12,48814,1665,100,Sep
200,#DataAnalysis #DataAnalyst,2023-09-07,21472,1491,23,Sep
201,Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05,16712,722,30,Sep
202,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29,47118,1991,112,Aug
203,#DataAnalyst #DataAnalysis #Promotion,2023-08-28,11342,637,10,Aug
204,#DataAnalyst #DataAnalysis,2023-08-24,21965,1429,54,Aug
205,Regular Expression Use Cases in Python,2023-08-22,13223,309,24,Aug
206,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18,8533,318,25,Aug
207,#DataAnalystSalary #DataAnalysis,2023-08-17,58296,3900,48,Aug
208,How to Work with Recruiters on LinkedIn,2023-08-15,53122,2466,88,Aug
209,#dataanalysis #dataportfolio,2023-08-14,51220,3632,30,Aug
210,#wife #careerchange #dataanalysis,2023-08-11,22694,2025,53,Aug
211,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09,9116,765,43,Aug
212,Regular Expression Character Classes in Python,2023-08-08,17405,279,13,Aug
213,#Recruiters #dataanalysis #data,2023-08-03,19095,1235,24,Aug
214,Regular Expression Metacharacters in Python,2023-08-01,15583,368,9,Aug
215,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31,22735,854,42,Jul
216,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28,78528,3906,49,Jul
217,Regular Expression Methods in Python,2023-07-25,28473,542,15,Jul
218,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18,49908,1669,77,Jul
219,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11,776020,13657,563,Jul
220,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06,242625,6656,120,Jul
221,Find and Find_All | Web Scraping in Python,2023-07-04,111131,2764,51,Jul
222,500k Livestream!!,2023-06-28,6298,381,24,Jun
223,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27,272783,4752,84,Jun
224,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20,104698,2510,45,Jun
225,Best Places to Find Datasets for Your Projects,2023-06-13,275014,6603,106,Jun
226,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06,245491,5297,263,Jun
227,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30,10284,362,20,May
228,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29,383631,6845,172,May
229,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23,571330,13096,556,May
230,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16,59172,1868,52,May
231,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15,47486,1383,376,May
232,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12,33404,792,78,May
233,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09,121525,2625,53,May
234,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02,190100,4027,90,May
235,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27,10348,337,27,Apr
236,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25,69144,1281,60,Apr
237,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18,39517,1073,30,Apr
238,Google Business Intelligence Professional Certification Review,2023-04-18,48681,1302,74,Apr
239,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,165420,4604,402,Apr
240,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,157236,3704,153,Apr
241,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,40073,1792,79,Mar
242,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,95209,2114,57,Mar
243,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,262281,6909,264,Mar
244,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,152949,3094,73,Mar
245,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,11225,392,33,Mar
246,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,311831,4910,128,Feb
247,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,98738,2119,103,Feb
248,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,451380,8274,217,Feb
249,FREE Data Analyst Bootcamp!!,2023-02-07,2760511,59598,2495,Feb
250,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,1569191,49539,1683,Jan
251,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,17916,633,23,Jan
252,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,42802,1492,120,Jan
253,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,31233,884,49,Jan
254,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,46829,1344,36,Jan
255,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,66730,3031,220,Jan
256,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,124884,2469,99,Jan
257,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,16470,414,14,Dec
258,Why I Quit my 125k Analytics Job,2022-12-20,158492,8661,846,Dec
259,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,5131,166,15,Dec
260,Converting Data Types in Python | Python for Beginners,2022-12-13,77105,1919,44,Dec
261,Functions in Python | Python for Beginners,2022-12-06,143412,2873,54,Dec
262,While Loops in Python | Python for Beginners,2022-11-29,132788,3003,51,Nov
263,For Loops in Python | Python for Beginners,2022-11-22,115777,2444,43,Nov
264,Data Analyst Q/A Livestream | November Livestream,2022-11-16,6335,197,18,Nov
265,If Else Statements in Python | Python for Beginners,2022-11-15,110265,2313,38,Nov
266,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08,95690,2239,24,Nov
267,Data Types in Python | Python for Beginners,2022-11-01,231698,4896,108,Nov
268,Data Analyst Q/A Livestream | October Livestream,2022-10-31,5766,180,11,Oct
269,Variables in Python | Python for Beginners,2022-10-25,207143,4159,90,Oct
270,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19,5285,240,21,Oct
271,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18,662712,9115,229,Oct
272,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13,9805,333,20,Oct
273,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11,7811,340,32,Oct
274,When Best Friends Work Together (ft. Luke Barousse),2022-10-04,17220,720,84,Oct
275,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01,6827,211,8,Oct
276,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27,649219,11745,579,Sep
277,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20,229728,4399,84,Sep
278,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13,61289,2188,96,Sep
279,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06,175006,3535,63,Sep
280,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30,291500,4181,70,Aug
281,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24,77756,2057,76,Aug
282,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23,7720,259,15,Aug
283,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16,29317,685,130,Aug
284,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09,345908,5532,105,Aug
285,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02,21121,878,75,Aug
286,250k Subscriber Live Stream!!,2022-07-26,4178,156,11,Jul
287,How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26,387564,6896,269,Jul
288,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19,22086,608,125,Jul
289,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12,496705,7785,185,Jul
290,Machine Learning Specialization on Coursera | Review,2022-07-05,26911,824,63,Jul
291,Meta Marketing Analytics Professional Certificate on Coursera | Review,2022-06-28,41788,1034,99,Jun
292,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,2022-06-21,45837,1629,131,Jun
293,How to use Power Query in Power BI | Microsoft Power BI for Beginners,2022-06-14,638935,9337,143,Jun
294,Automating Crypto Website API Pull Using Python | Data Analyst Project,2022-06-07,96915,1556,134,Jun
295,How to use a Public API | Using a Public API with Python,2022-05-31,79394,2252,97,May
296,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,2022-05-24,960799,14847,345,May
297,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,2022-05-17,192568,3747,290,May
298,Top 3 Tips to Stop Procrastinating to be Successful,2022-05-10,33650,1671,155,May
299,SQL vs NoSQL | What's the Difference?,2022-05-03,71678,2029,70,May
300,Database vs Data Warehouse vs Data Lake | What is the Difference?,2022-04-26,1086936,27343,356,Apr
301,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,2022-04-20,12173,328,161,Apr
302,200k Livestream! | Shaving | Puppies | Giveaway,2022-04-14,3192,133,11,Apr
303,Things I HATE About Being a Data Analyst,2022-04-12,36850,1518,200,Apr
304,Best Website to Practice Technical Interview Questions,2022-04-05,20557,688,56,Apr
305,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,2022-03-29,7226,275,157,Mar
306,Full Project in Excel | Excel Tutorials for Beginners,2022-03-22,1250040,25215,1331,Mar
307,Top 5 Non-Technical Skills for Data Analysts,2022-03-15,22640,831,72,Mar
308,Cleaning Data in Excel | Excel Tutorials for Beginners,2022-03-01,839224,16573,389,Mar
309,Tableau Data Analyst Certification Review,2022-02-22,73744,1694,131,Feb
310,Job Title Alternatives for Data Analysts,2022-02-15,26714,1020,94,Feb
