,Title,Published_date,Views,Likes,Comments
260,Converting Data Types in Python | Python for Beginners,2022-12-13T12:00:06Z,77105,1919,44
261,Functions in Python | Python for Beginners,2022-12-06T12:00:36Z,143412,2873,54
262,While Loops in Python | Python for Beginners,2022-11-29T12:00:07Z,132788,3003,51
263,For Loops in Python | Python for Beginners,2022-11-22T12:00:48Z,115777,2444,43
264,Data Analyst Q/A Livestream | November Livestream,2022-11-16T02:06:22Z,6335,197,18
265,If Else Statements in Python | Python for Beginners,2022-11-15T12:00:00Z,110265,2313,38
266,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08T12:00:35Z,95690,2239,24
267,Data Types in Python | Python for Beginners,2022-11-01T11:00:37Z,231698,4896,108
268,Data Analyst Q/A Livestream | October Livestream,2022-10-31T01:22:29Z,5766,180,11
269,Variables in Python | Python for Beginners,2022-10-25T11:00:27Z,207143,4159,90
270,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19T10:56:23Z,5285,240,21
271,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18T11:00:30Z,662712,9115,229
272,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13T11:00:07Z,9805,333,20
273,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11T11:00:42Z,7811,340,32
274,When Best Friends Work Together (ft. Luke Barousse),2022-10-04T10:30:09Z,17220,720,84
275,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01T01:48:31Z,6827,211,8
276,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27T10:30:19Z,649219,11745,579
277,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20T10:30:00Z,229728,4399,84
278,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13T10:30:00Z,61289,2188,96
279,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06T10:30:02Z,175006,3535,63
280,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30T10:30:10Z,291500,4181,70
281,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24T16:15:29Z,77756,2057,76
282,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23T10:30:19Z,7720,259,15
283,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16T10:30:00Z,29317,685,130
284,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09T10:30:11Z,345908,5532,105
